OTU ID	taxonomy	taxid	AH	CP	EP	TB
31237	sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae	292625	0.0	0.0	0.0	1.0
31915	sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Acetoanaerobium	186831	0.0	2.0	0.0	0.0
33809	sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Domibacillus	1433999	0.0	0.0	0.0	1.0
33966	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	20	2.0	0.0	0.0	1.0
33984	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	206389	0.0	0.0	1.0	0.0
34084	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales	85013	1.0	0.0	0.0	1.0
34422	sk__Bacteria;k__;p__Nitrospirae;c__Nitrospira	203693	0.0	0.0	0.0	1.0
34751	sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter	84567	2.0	1.0	1.0	6.0
35429	sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae	1853232	1.0	0.0	0.0	2.0
36204	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales	1775403	0.0	0.0	0.0	1.0
36281	sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfocapsa	53318	0.0	1.0	0.0	0.0
38824	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	403	0.0	0.0	0.0	2.0
38831	sk__Bacteria;k__;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae	219687	8.0	0.0	0.0	3.0
38947	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	286	3.0	0.0	0.0	2.0
39507	sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae	1471398	0.0	1.0	0.0	3.0
43086	sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae	2048906	0.0	0.0	0.0	2.0
43464	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas	642	0.0	1.0	0.0	0.0
44882	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium	59732	0.0	0.0	1.0	0.0
45217	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis	165697	1.0	0.0	0.0	0.0
45630	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Dongia	1146845	0.0	0.0	0.0	1.0
48284	sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Pirellulales	2691354	2.0	0.0	0.0	0.0
49062	sk__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida	3398	2.0	0.0	1.0	2.0
49310	sk__Eukaryota;k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Cephalobidae;g__Acrobeloides;s__Acrobeloides_maximus	96598	1.0	0.0	0.0	0.0
49356	sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium	28453	2.0	1.0	0.0	0.0
49948	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea	33829	2.0	0.0	0.0	0.0
49982	sk__Eukaryota;k__;p__;c__Chrysophyceae;o__Chromulinales;f__Chromulinaceae	98651	0.0	1.0	0.0	0.0
49992	sk__Bacteria;k__;p__Gemmatimonadetes;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae	1804993	10.0	0.0	0.0	0.0
50232	sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	1386	0.0	0.0	1.0	25.0
51027	sk__Eukaryota;k__Viridiplantae	33090	0.0	2.0	0.0	0.0
51086	sk__Bacteria;k__;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales	189776	1.0	0.0	4.0	0.0
51962	sk__Bacteria;k__;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales;f__Chthoniobacteraceae	1836792	0.0	0.0	1.0	0.0
52402	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria	1236	11.0	3.0	2.0	8.0
53098	sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Arcticibacter	1288026	0.0	0.0	0.0	1.0
53519	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Steroidobacteraceae	2689614	0.0	0.0	1.0	0.0
53573	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_sp._NRRL_F-6677	1463879	0.0	0.0	3.0	1.0
58191	sk__Eukaryota;k__;p__Ciliophora;c__Oligohymenophorea	6020	0.0	0.0	1.0	0.0
58402	sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	186822	0.0	0.0	0.0	1.0
60687	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae	1903409	0.0	0.0	0.0	1.0
65460	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	5042	0.0	0.0	0.0	1.0
65967	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	72274	1.0	0.0	0.0	0.0
66706	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Terrabacter	53355	0.0	0.0	0.0	1.0
67446	sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_sp._37MA	1132442	0.0	0.0	0.0	1.0
69107	sk__Bacteria;k__;p__Firmicutes;c__Bacilli	91061	1.0	0.0	0.0	4.0
69752	sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae	2691357	2.0	1.0	0.0	0.0
70474	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	32033	6.0	0.0	1.0	0.0
70712	sk__Bacteria;k__;p__Candidatus_Zambryskibacteria	1817925	1.0	0.0	0.0	0.0
71736	sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	112	0.0	0.0	1.0	0.0
71861	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__;g__Antricoccus	1920251	0.0	0.0	0.0	1.0
74924	sk__Eukaryota;k__;p__Cercozoa;c__Thecofilosea	1004930	1.0	0.0	0.0	0.0
